,Score
4302,6.56
3006,5.52
11341,8.41
11890,5.24
2781,6.45
14265,7.08
8331,7.17
12033,Unknown
16999,Unknown
625,6.83
5830,6.2
9935,Unknown
6975,Unknown
7907,7.02
9406,6.07
5121,6.14
12852,Unknown
9478,Unknown
16068,6.42
2829,4.62
11471,5.72
16344,6.22
9255,6.87
5787,6.53
11841,Unknown
9485,Unknown
15307,Unknown
10406,7.43
4219,4.12
3686,6.5
5980,7.73
10264,4.72
16233,Unknown
13317,7.13
8439,7.28
14057,7.54
7874,5.27
5340,Unknown
3413,5.78
7583,Unknown
10251,Unknown
906,6.66
9634,6.2
3693,6.11
760,6.05
3118,6.63
15807,6.83
13330,7.1
2291,7.22
7872,Unknown
9666,6.4
12152,4.89
7839,7.33
5987,5.91
10425,4.5
10885,5.27
11699,7.48
295,6.02
7276,5.11
5142,Unknown
14166,6.43
5601,5.02
17312,Unknown
7655,6.7
1785,6.58
12315,Unknown
4382,6.16
12390,6.51
5318,6.29
5854,5.8
11488,Unknown
1284,6.84
15553,Unknown
1362,6.21
10194,Unknown
16012,6.4
5453,5.63
5733,Unknown
5769,6.94
4454,6.3
16762,Unknown
17294,Unknown
8217,7.88
17263,Unknown
549,7.45
13731,5.25
14761,6.07
6820,Unknown
16078,7.05
14377,Unknown
3574,5.93
7042,4.75
9059,6.85
7407,Unknown
13871,7.01
4352,6.37
12047,5.62
7313,5.99
2648,6.09
2586,6.18
16285,5.29
8762,6.62
4889,7.93
16457,Unknown
6576,Unknown
3160,5.45
12878,7.24
16290,Unknown
3182,6.77
6466,6.18
16061,4.06
3480,6.53
2377,5.41
4803,5.96
12578,Unknown
5692,6.11
10722,6.68
13160,Unknown
9397,5.61
5392,7.57
10349,Unknown
8324,5.19
8195,Unknown
4587,6.77
12599,6.53
17529,Unknown
10196,6.8
15306,Unknown
16763,6.76
10479,5.28
5399,5.99
15371,Unknown
14030,Unknown
11673,7.1
9674,7.93
10315,5.93
11893,6.76
12930,7.56
14681,6.15
12325,Unknown
5372,7.74
12231,6.69
14994,Unknown
4955,6.25
1613,7.04
5829,7.83
14342,5.73
10311,Unknown
16225,Unknown
8781,Unknown
2015,7.49
14134,7.26
16789,Unknown
14715,Unknown
5756,6.36
603,7.98
5329,7.45
12479,5.61
2981,Unknown
10175,5.63
11440,6.77
7012,7.35
16466,6.52
243,7.87
9305,6.47
4878,5.07
8066,7.3
106,6.96
6802,6.44
16491,6.12
6734,Unknown
8284,7.22
16562,7.17
16861,6.55
16581,Unknown
4830,Unknown
9457,Unknown
5344,6.89
5202,6.26
10456,7.09
16630,6.53
10157,7.33
12431,6.52
4605,8.15
10174,Unknown
11681,6.29
8854,6.1
7859,Unknown
11931,6.6
3960,5.42
8642,5.75
3873,7.75
179,7.82
4446,6.04
12585,Unknown
2836,5.65
15271,7.35
14111,Unknown
4793,Unknown
7436,7.13
11125,5.46
5958,Unknown
10110,Unknown
14246,Unknown
9883,6.95
16711,5.9
6890,5.47
15655,5.75
16904,Unknown
17295,Unknown
12729,6.54
15800,8.05
29,6.98
16946,Unknown
5703,7.04
2801,6.96
15555,Unknown
12162,Unknown
2922,7.22
14812,Unknown
4664,6.56
16240,6.84
10362,Unknown
13795,6.5
16145,Unknown
1245,7.7
12998,7.34
4537,7.01
5554,Unknown
12388,7.81
4053,7.43
5931,6.63
3239,6.36
4412,4.82
108,7.59
13373,6.27
12103,7.52
10821,5.38
4969,6.95
15953,3.89
6536,7.11
14188,5.42
8373,6.99
9039,Unknown
9656,Unknown
9058,6.38
13455,7.01
5844,7.35
10918,Unknown
4394,7.36
5873,7.84
11061,7.33
12286,Unknown
16046,7.18
10923,7.05
9895,8.73
12667,Unknown
4348,5.79
13656,6.36
10292,Unknown
8299,6.63
9858,7.96
1158,5.85
5150,5.8
17410,Unknown
9441,7.05
3125,5.97
1865,6.24
11077,Unknown
9972,5.43
973,6.15
8010,7.81
4299,6.78
16590,Unknown
3653,4.78
5872,7.13
4838,7.21
14128,6.49
7598,4.77
7377,6.7
15339,Unknown
9740,7.06
17117,Unknown
8122,Unknown
5547,Unknown
15827,Unknown
3088,6.0
9420,Unknown
7195,6.11
13181,Unknown
4680,6.6
8341,7.29
16625,6.45
7464,Unknown
2825,6.06
1038,8.26
13169,Unknown
6330,6.66
10,7.91
2647,6.95
5868,6.99
15623,Unknown
1426,6.41
15292,7.39
3265,6.73
14868,Unknown
15094,Unknown
4814,4.75
12538,5.86
12148,5.73
1215,3.15
8192,Unknown
7270,7.69
14834,Unknown
2393,6.01
2784,6.26
16607,6.2
11596,5.45
9352,Unknown
323,6.66
1344,8.05
13371,5.41
4457,6.47
372,7.72
7614,5.79
909,7.33
6723,7.51
16944,7.63
5083,6.32
3399,6.29
496,7.18
5846,8.33
11960,5.68
10375,Unknown
12958,Unknown
8570,Unknown
7585,Unknown
16180,Unknown
3470,7.33
5302,Unknown
15531,6.3
3223,6.68
1244,7.75
4365,Unknown
13049,5.75
1195,6.96
14399,Unknown
4953,5.62
11274,6.34
1423,7.55
7512,Unknown
8478,6.73
7513,Unknown
256,6.83
15959,6.54
11420,6.95
288,6.52
6287,6.91
6577,7.33
9070,6.79
9638,5.32
14962,5.52
17364,Unknown
12701,Unknown
17023,Unknown
10413,Unknown
4484,6.75
11337,7.39
15352,8.27
8552,5.22
10638,7.24
1232,8.04
1280,5.69
7181,Unknown
11056,Unknown
10581,5.53
2675,7.36
12217,7.85
1112,5.8
13225,Unknown
7887,Unknown
10619,4.92
4221,7.34
15132,Unknown
5130,Unknown
14645,Unknown
5524,7.1
267,7.01
13197,Unknown
13562,Unknown
9128,7.47
16869,Unknown
6127,Unknown
9411,5.72
16636,Unknown
401,7.52
5821,6.44
6507,7.94
9999,5.13
3048,7.03
2045,5.09
10285,5.49
1379,8.19
7689,Unknown
3688,6.02
17419,Unknown
15687,7.25
9910,7.06
4759,Unknown
13759,Unknown
9778,5.33
12892,Unknown
17198,4.78
16782,Unknown
3790,5.67
620,7.18
5799,5.15
652,6.44
3464,6.68
13280,7.53
13158,Unknown
3473,6.84
15594,7.25
13114,Unknown
5328,6.02
7219,6.25
8246,6.16
9443,6.57
5019,5.86
9044,Unknown
6152,6.98
14849,7.74
2516,7.13
9791,7.35
14503,Unknown
13754,6.3
9593,5.79
16582,5.2
5286,7.38
10370,6.15
11762,6.65
16094,5.49
12138,Unknown
14822,6.51
3603,6.68
13802,Unknown
17137,Unknown
7030,7.54
2916,6.95
11293,Unknown
1506,6.5
13979,5.43
16402,Unknown
10798,6.33
10115,Unknown
13798,6.94
15642,Unknown
13170,6.2
1648,5.56
15773,5.68
4890,7.08
14799,7.61
730,6.54
5440,6.72
6766,6.3
11114,6.03
17021,Unknown
15611,Unknown
16645,6.3
337,5.93
17313,6.58
14164,5.12
1745,8.07
14516,Unknown
3853,5.7
12153,5.69
5221,7.15
17363,Unknown
2709,5.06
16321,6.28
5902,7.59
3388,6.25
12238,7.35
9609,Unknown
16413,Unknown
6389,6.52
15780,6.79
1543,8.32
13633,Unknown
10481,4.68
3126,5.59
1156,6.57
12361,Unknown
12740,Unknown
5985,7.44
6216,7.19
10247,4.81
5912,6.93
32,6.31
7187,6.67
12748,Unknown
14690,5.72
5970,7.09
1336,7.43
7255,5.72
4021,6.3
8380,7.27
16228,5.93
11117,6.4
9532,Unknown
6300,7.27
1610,6.5
939,7.53
10231,Unknown
10887,5.38
4023,6.05
12073,6.7
8369,7.41
9538,Unknown
13934,6.52
745,5.87
4083,6.27
16235,7.43
3270,6.13
5582,5.16
2877,6.33
9037,Unknown
4701,6.05
1741,7.76
11656,5.99
9960,Unknown
2651,6.42
12119,6.35
13427,6.17
5646,6.36
9688,Unknown
3002,6.22
1821,7.05
11852,Unknown
7413,6.43
1330,6.12
15407,Unknown
7146,6.75
957,5.41
2110,6.22
8550,6.59
14567,6.87
17555,Unknown
7631,5.92
7501,6.18
14365,5.93
4691,7.31
17187,Unknown
1660,7.79
16918,Unknown
7923,5.57
12459,7.87
8188,5.89
14985,6.63
2768,6.11
13390,Unknown
655,7.34
15223,6.88
15842,Unknown
16996,Unknown
14258,6.38
12733,5.2
8700,Unknown
14360,6.66
2199,8.28
2960,6.31
4640,6.32
2399,6.52
7310,5.67
7251,7.17
5487,5.71
16429,Unknown
15732,5.8
14425,Unknown
13661,6.18
11982,Unknown
9022,6.51
981,7.36
1405,7.2
12957,Unknown
2625,6.27
11719,Unknown
8267,5.57
14540,7.18
7969,Unknown
3148,5.7
12756,5.98
13658,5.2
12294,Unknown
16069,7.13
2873,6.62
16655,Unknown
16795,Unknown
3916,6.49
10504,5.72
3685,6.58
16993,Unknown
9252,5.87
10221,5.14
76,7.82
5195,6.45
9664,7.07
11306,Unknown
11759,6.8
16969,Unknown
13878,Unknown
15112,7.82
6651,7.82
4947,5.72
435,7.7
2260,5.81
1775,7.59
10957,Unknown
10912,5.5
93,7.93
9939,4.77
12848,Unknown
4007,5.67
2731,7.71
16391,Unknown
7171,5.4
6791,Unknown
9230,7.77
4810,6.13
3181,Unknown
12815,Unknown
1076,6.66
2338,5.19
10249,5.09
17232,6.43
12487,7.42
7844,Unknown
9893,Unknown
1885,5.78
11819,4.54
8796,6.4
12421,7.97
5773,5.84
13023,5.49
4323,6.01
5584,Unknown
4949,5.0
10437,6.53
12587,Unknown
222,7.27
12563,Unknown
7899,Unknown
2759,7.12
13205,Unknown
252,7.18
4030,6.12
3352,6.2
1437,6.63
1233,8.14
16053,6.47
4281,8.27
7849,Unknown
8116,7.2
9367,5.83
3102,5.53
7477,3.39
2465,6.54
13098,Unknown
8293,7.3
8621,2.63
5393,7.34
5404,Unknown
9682,7.31
11014,5.36
8372,6.43
1354,6.99
449,7.11
15387,Unknown
8292,8.01
17115,Unknown
7724,7.13
8603,6.57
3621,4.86
2317,5.87
16144,5.9
14901,5.83
2185,6.61
4477,7.18
1890,5.55
1155,6.61
11784,5.24
329,7.59
9115,Unknown
1728,6.76
2152,6.66
14374,5.35
13560,Unknown
6521,7.1
14650,Unknown
2997,5.68
15388,Unknown
5349,7.02
14195,Unknown
10707,Unknown
4392,6.06
10710,5.98
2503,5.79
15357,Unknown
11828,6.64
2463,6.21
2132,7.08
2846,6.43
11665,5.89
8104,6.57
7586,Unknown
1612,7.47
8650,6.53
7752,4.89
2191,7.27
1729,6.71
9483,Unknown
4824,7.16
6668,7.44
12882,Unknown
14102,6.95
13136,Unknown
7593,5.85
5657,6.13
6302,Unknown
10323,Unknown
15847,Unknown
5909,6.45
8254,Unknown
16923,Unknown
17389,Unknown
11752,6.49
9393,6.77
13819,Unknown
8452,6.02
7581,Unknown
4047,7.5
1866,6.29
10162,Unknown
5950,5.97
10458,6.64
6896,Unknown
5298,Unknown
2556,4.47
2322,6.26
4240,4.47
15293,7.36
15423,Unknown
5742,7.49
6745,5.53
2755,6.46
8013,Unknown
11317,4.93
2492,Unknown
7612,Unknown
3139,6.31
6902,6.5
15698,Unknown
3742,5.81
5234,6.32
8530,5.88
3272,6.99
16255,Unknown
5273,Unknown
14440,6.33
2889,7.14
6321,6.09
16589,6.12
15173,Unknown
788,6.91
11766,7.56
3347,5.73
8295,Unknown
10895,7.22
1162,6.24
7546,Unknown
11096,5.34
6126,Unknown
2194,6.8
9509,Unknown
5444,5.83
16207,6.6
9006,6.16
11059,6.5
15968,6.84
6196,7.28
7694,Unknown
13204,7.77
3377,6.45
4527,5.6
16185,Unknown
1780,6.97
13834,5.14
9389,6.09
2959,6.34
10465,7.69
13756,Unknown
7873,5.62
349,6.7
14836,Unknown
16635,Unknown
8005,Unknown
3349,6.12
16028,Unknown
14726,7.59
42,7.2
801,6.71
3529,7.08
3531,5.96
10379,6.05
8522,Unknown
5173,6.73
8303,5.51
10182,8.1
13249,7.42
13504,6.03
3091,5.13
10192,Unknown
7709,Unknown
6853,Unknown
2756,6.63
6458,Unknown
1616,6.21
6942,7.24
8670,Unknown
11071,Unknown
12567,Unknown
5087,5.8
12921,5.83
8077,Unknown
16044,Unknown
14219,8.52
13608,Unknown
2401,6.66
11162,6.34
8805,Unknown
11845,6.05
11297,Unknown
15748,5.63
3878,5.77
6912,6.46
13426,Unknown
1702,5.82
9254,5.26
5641,6.23
10429,Unknown
14205,5.25
4521,6.18
14475,6.64
3541,6.03
12630,Unknown
7764,7.37
11318,5.35
11024,Unknown
15658,Unknown
2211,6.12
10676,7.17
14767,5.53
3133,5.48
13742,Unknown
16459,5.81
12035,7.07
17541,Unknown
5938,Unknown
4320,Unknown
10871,Unknown
2107,6.02
13285,8.19
3034,7.07
12256,Unknown
15936,Unknown
4663,5.67
10228,6.3
13265,Unknown
2367,6.65
9395,6.6
440,7.17
15960,5.78
15236,Unknown
9735,5.23
832,7.08
17333,Unknown
3064,6.21
7714,Unknown
12384,Unknown
1224,5.1
10764,Unknown
2592,7.2
3247,6.95
6849,7.18
8023,5.94
9737,6.45
10237,Unknown
15985,5.59
2691,7.15
15538,Unknown
15099,4.58
13310,Unknown
10114,5.74
12675,5.42
9680,Unknown
15771,Unknown
3196,5.42
9757,7.29
486,7.34
13185,Unknown
9841,5.79
783,7.33
6596,6.11
11294,Unknown
9619,Unknown
3238,7.65
11282,7.38
873,6.9
10747,Unknown
2047,6.23
104,6.49
9912,Unknown
10341,5.66
1915,5.92
6499,Unknown
5684,6.01
6728,6.17
3632,7.46
109,7.41
2138,7.34
11983,Unknown
8523,6.93
17332,Unknown
12296,Unknown
14522,5.93
8866,8.03
3324,Unknown
16931,Unknown
4480,7.55
11789,6.55
13995,Unknown
9563,Unknown
9442,6.25
14202,Unknown
16311,Unknown
8510,7.33
17099,Unknown
6131,6.06
12762,Unknown
8441,6.77
9349,6.06
16684,Unknown
7332,6.25
12009,Unknown
1834,7.41
11209,6.3
15982,5.3
8486,7.09
14329,Unknown
14181,5.88
9564,Unknown
8618,4.2
3003,7.47
8215,7.02
13837,Unknown
5389,7.06
11354,4.28
1309,5.75
3475,6.42
789,7.62
15050,Unknown
12472,Unknown
7740,6.26
3284,5.91
11672,7.34
2514,6.56
8952,Unknown
10994,5.68
9617,7.3
11251,6.4
6227,6.69
12606,6.83
8554,Unknown
5006,5.6
6214,7.39
13588,8.09
5257,6.07
9534,Unknown
16564,5.93
11932,5.6
3301,6.51
16187,Unknown
6843,Unknown
15886,Unknown
7990,6.54
5406,6.58
712,6.66
12697,Unknown
4409,6.87
13133,8.41
5920,Unknown
11840,Unknown
5411,Unknown
13638,5.69
550,7.52
9892,6.25
3241,6.02
12806,6.55
12609,Unknown
10732,Unknown
15411,Unknown
3264,6.75
5061,6.19
2098,5.82
7001,7.73
7292,7.44
3671,6.53
13640,6.46
8778,6.0
4416,5.33
15396,Unknown
9423,5.18
9148,7.31
15657,Unknown
2934,1.85
9450,Unknown
6597,Unknown
11688,Unknown
9253,7.95
4833,5.68
15608,7.35
10519,4.97
11875,5.66
16356,Unknown
15533,6.44
11051,7.47
56,7.42
3412,7.39
2855,5.25
400,7.94
2986,6.03
6605,7.64
15234,Unknown
16938,Unknown
14292,7.14
6554,Unknown
7258,6.16
10560,6.5
5781,7.62
13177,Unknown
15416,Unknown
13508,Unknown
7233,6.31
10307,Unknown
519,6.79
1755,7.46
4508,6.81
13130,5.89
10620,5.68
5263,Unknown
1069,6.83
8340,6.84
8419,5.65
11007,6.44
6611,6.37
13019,7.94
665,6.7
10783,Unknown
716,4.39
12378,Unknown
1699,Unknown
1877,4.88
10879,6.2
7320,7.46
15364,Unknown
6800,6.32
14001,Unknown
7065,7.24
7140,8.07
13246,5.04
9468,Unknown
6861,7.62
8168,Unknown
13517,Unknown
8637,7.68
8128,Unknown
6592,7.22
12624,8.27
91,4.95
2577,7.04
11586,7.65
8384,6.23
8757,7.04
14183,5.47
16982,Unknown
14740,Unknown
3896,6.55
13322,Unknown
1349,6.68
11429,5.35
8990,6.41
3777,5.24
13984,5.19
14315,6.81
11342,Unknown
4050,8.67
16272,Unknown
15813,7.36
9965,Unknown
2762,6.99
3581,6.12
7105,6.53
6372,7.57
12720,5.57
14724,Unknown
5062,6.88
3602,6.5
16098,6.79
6948,Unknown
7756,5.09
9282,Unknown
14808,6.35
6017,6.05
10158,7.82
2956,6.95
12117,Unknown
13780,Unknown
7520,Unknown
1103,8.33
8974,Unknown
12955,Unknown
12761,Unknown
13052,6.42
1558,6.59
2488,6.64
14783,Unknown
16197,Unknown
3523,6.46
4542,7.42
11066,3.82
3400,6.66
10035,Unknown
17297,5.3
8565,Unknown
12339,7.64
2272,5.41
2374,5.75
13416,5.21
9090,Unknown
292,6.19
2870,7.01
10002,Unknown
9918,Unknown
12141,Unknown
16530,Unknown
4879,7.43
13211,Unknown
16812,Unknown
13908,6.84
4418,Unknown
13180,7.29
356,7.16
16313,Unknown
4584,7.41
837,6.66
7013,8.38
13950,6.24
12940,5.81
17176,Unknown
1726,6.24
16769,Unknown
14097,6.93
2362,5.84
13555,Unknown
15713,5.05
10792,Unknown
12082,6.17
4223,7.28
10443,6.51
16929,Unknown
7379,6.24
8101,6.65
6967,2.01
6166,7.09
6461,7.41
3061,6.26
889,6.8
966,7.31
9147,Unknown
1963,6.89
11542,5.36
13618,Unknown
17193,Unknown
12245,7.54
9868,7.2
2835,7.17
7213,7.38
12318,7.27
12302,Unknown
2268,6.03
3770,Unknown
15329,5.66
10117,Unknown
132,7.78
14773,Unknown
6839,Unknown
393,6.68
6558,Unknown
15776,Unknown
3928,6.92
14350,6.53
8401,7.32
4036,7.42
16539,Unknown
9978,Unknown
8183,6.37
225,7.85
15490,Unknown
16998,Unknown
6777,6.64
4613,5.32
13078,6.94
11903,5.64
8593,7.07
11368,6.29
9578,7.04
13361,5.65
10818,6.15
5008,5.48
9694,5.18
3403,6.47
3515,6.42
3883,5.45
6755,6.18
13036,5.05
2908,Unknown
4261,4.75
8071,6.64
2423,6.19
11032,6.45
5264,5.95
10941,6.25
12967,6.18
3548,6.78
10054,Unknown
11624,8.87
17240,Unknown
14652,6.34
10044,Unknown
14401,6.4
15420,Unknown
14260,7.48
15978,Unknown
5501,Unknown
8047,6.29
809,6.7
13887,Unknown
2650,6.29
9287,Unknown
17483,Unknown
3190,6.58
3620,5.15
3650,6.37
8863,Unknown
15967,6.28
12354,6.39
4070,7.44
8290,Unknown
15994,6.72
14729,6.28
3370,4.81
17060,6.18
12821,Unknown
16713,Unknown
16770,Unknown
14058,6.25
12953,Unknown
9378,6.89
16121,7.76
7903,7.51
1736,6.4
1568,7.42
462,7.08
743,7.33
8414,6.55
12351,Unknown
3994,7.58
15621,6.73
10250,5.13
15849,Unknown
16785,Unknown
11966,6.3
5494,5.38
16073,Unknown
12584,6.05
4335,6.38
14719,Unknown
16716,6.22
5114,Unknown
7174,7.36
8587,6.46
12844,Unknown
5212,7.01
12822,Unknown
16514,Unknown
16083,Unknown
13530,Unknown
2902,6.28
12574,4.84
5534,7.73
9409,6.74
779,6.58
7420,5.62
11239,Unknown
16687,Unknown
6528,7.56
3431,6.23
17085,Unknown
11165,5.4
15372,Unknown
4725,6.65
1469,6.6
16323,8.02
8871,7.15
11489,4.74
17409,Unknown
8424,Unknown
368,8.45
15887,6.83
16201,Unknown
64,7.92
4210,5.53
9514,Unknown
11717,Unknown
1721,6.82
11123,7.43
5324,7.81
4060,6.54
7280,6.81
1824,5.38
15232,Unknown
14897,Unknown
11818,5.51
3232,5.4
12026,7.11
1918,7.43
12799,4.68
1569,7.85
1831,7.06
8539,7.67
1242,7.27
17347,Unknown
10607,7.19
8736,Unknown
4656,7.87
10663,5.16
11292,Unknown
14263,7.09
8343,5.54
15724,Unknown
12638,Unknown
4859,6.11
7490,5.3
11446,6.58
14921,7.3
1222,7.18
1777,5.28
13148,Unknown
11279,6.68
9571,Unknown
11438,Unknown
9380,7.41
8701,Unknown
14911,6.0
6400,6.66
14717,Unknown
748,5.77
7271,6.85
5246,7.83
1259,5.98
7173,7.01
1888,6.25
8776,8.41
711,8.04
16820,Unknown
15995,6.64
11658,7.42
7937,7.56
4808,7.41
3329,5.88
3293,6.65
14691,6.94
9419,5.52
3845,5.71
5551,Unknown
11632,7.31
8296,6.53
9386,6.5
1794,7.06
13186,6.58
5917,6.52
5024,6.75
1658,6.61
212,6.64
12931,Unknown
9547,Unknown
4419,7.2
17087,Unknown
5193,5.85
8526,Unknown
2166,6.42
3110,6.66
792,8.46
233,6.45
10735,Unknown
12189,5.88
209,7.65
15969,6.05
11984,Unknown
4498,5.8
8925,4.75
2413,6.49
6598,Unknown
12076,Unknown
834,6.65
8074,Unknown
9705,Unknown
6035,7.56
1220,6.57
8966,Unknown
6552,5.88
1387,4.74
2001,5.48
5609,Unknown
4581,7.4
2523,Unknown
10609,6.64
7259,6.69
16506,Unknown
3078,Unknown
7460,Unknown
9301,Unknown
4782,4.61
10407,7.71
4381,4.93
9004,Unknown
11881,Unknown
15278,5.39
7642,5.23
8067,7.06
6452,5.62
12038,6.68
2165,Unknown
8809,Unknown
17407,Unknown
3803,6.71
8985,6.82
15382,Unknown
10740,5.24
11455,Unknown
12773,Unknown
7637,6.09
11474,7.19
13714,Unknown
1386,5.25
14741,Unknown
17291,6.19
13896,6.03
17029,Unknown
11478,7.52
3095,Unknown
3285,5.18
9751,6.82
7847,Unknown
1313,6.37
9620,6.9
8420,7.52
10579,6.39
14245,Unknown
5072,6.43
9881,4.58
15503,6.3
14090,Unknown
2269,6.16
10317,Unknown
9647,8.01
12540,7.16
8598,7.67
13270,Unknown
15427,8.05
15535,Unknown
14866,Unknown
11884,Unknown
17131,6.61
9720,Unknown
1541,7.86
13068,6.57
4607,6.2
13159,8.15
8434,6.86
7111,6.02
5538,6.29
4466,6.18
13174,Unknown
9267,Unknown
10786,Unknown
12476,6.74
6123,Unknown
8563,Unknown
3771,6.04
1109,6.37
4655,Unknown
12551,Unknown
15693,5.87
10557,Unknown
14852,Unknown
7095,5.23
16353,Unknown
1737,7.22
13032,5.2
10734,Unknown
561,6.99
9639,7.39
3345,6.26
8314,7.32
11651,Unknown
10414,Unknown
58,7.09
11018,7.09
10371,5.78
8405,Unknown
16256,6.88
10365,Unknown
12054,6.46
14584,Unknown
1649,3.67
4636,8.15
2510,6.76
938,8.27
395,6.73
17394,Unknown
13433,Unknown
3870,7.74
17150,Unknown
2907,5.84
12309,Unknown
5993,Unknown
16734,Unknown
4415,Unknown
14464,4.98
15041,6.6
14895,6.16
12446,Unknown
3949,6.88
17500,Unknown
9950,Unknown
2072,5.15
5822,Unknown
13556,6.13
3513,5.64
10000,Unknown
7964,Unknown
13721,Unknown
7482,Unknown
15117,6.19
10618,4.17
766,7.88
10468,7.29
3782,7.22
15138,Unknown
16601,Unknown
2860,8.08
1221,5.94
4864,7.0
9245,5.8
10210,5.91
4924,6.12
4532,Unknown
1672,6.54
12058,Unknown
4055,6.51
6952,7.94
14010,7.84
11249,5.51
16548,5.95
15574,Unknown
16431,8.09
15667,Unknown
9249,6.68
4317,4.59
12823,Unknown
7385,7.15
5519,5.99
858,7.64
15688,7.82
4439,6.1
14720,6.48
595,7.32
14583,Unknown
7799,Unknown
1951,7.06
12888,Unknown
17525,Unknown
11537,7.25
6944,6.44
7830,Unknown
2513,5.93
16132,Unknown
5559,7.15
17433,Unknown
7860,Unknown
14081,6.17
4700,6.87
2233,6.78
16524,5.23
7956,6.13
1176,5.24
9933,7.91
13262,Unknown
15421,6.7
13144,Unknown
16747,5.51
11422,Unknown
15903,6.92
4241,5.51
5424,6.12
7447,Unknown
3401,5.22
7492,8.23
14727,6.23
1550,6.58
1009,6.68
15400,7.52
13242,5.55
5095,Unknown
648,7.44
11098,6.09
4975,6.71
14337,5.87
10084,5.89
8742,Unknown
8169,Unknown
10346,Unknown
6860,5.78
14182,5.9
16276,Unknown
10056,Unknown
8699,8.24
211,8.16
13059,6.84
6343,7.27
1781,6.89
3543,7.4
1438,6.28
2868,5.9
2434,7.25
6830,Unknown
4792,7.04
12481,7.28
11650,7.84
6475,6.8
11728,Unknown
13457,Unknown
11223,7.45
10226,6.38
12,7.9
13650,7.55
818,6.81
13882,Unknown
8184,Unknown
453,7.35
17303,Unknown
3457,5.48
14861,7.42
16416,Unknown
9955,6.66
13991,8.5
940,6.62
2739,6.29
9966,Unknown
13155,Unknown
9384,8.38
12044,6.55
17172,Unknown
4071,7.47
1400,6.11
7690,6.6
8222,Unknown
15193,Unknown
6363,Unknown
5796,5.07
3677,5.66
14705,7.87
11194,6.78
10629,7.16
9084,6.28
14016,6.45
5188,7.51
13053,5.09
1108,5.51
14454,Unknown
3229,8.17
9931,6.66
11887,6.99
10299,Unknown
12627,6.42
5835,6.15
4326,6.39
11605,5.73
12907,6.71
2553,5.83
2686,6.28
16327,Unknown
1563,7.25
13604,Unknown
555,6.93
3071,6.78
4474,5.22
7529,Unknown
9798,Unknown
14978,6.06
11373,6.69
1416,5.05
10963,7.79
14394,Unknown
4601,7.2
15228,7.12
7399,7.58
16912,Unknown
13777,Unknown
13855,5.1
8961,5.6
13976,Unknown
16152,Unknown
10078,4.19
12437,7.14
9646,7.29
9019,7.74
14937,6.05
28,8.17
355,7.5
13971,7.48
13343,Unknown
13657,Unknown
15500,7.06
8524,7.63
5643,7.26
6865,6.48
11315,2.61
10275,Unknown
3675,6.17
4224,6.31
964,7.4
6749,7.15
120,7.45
6794,Unknown
4228,5.37
5579,5.79
328,7.34
4710,7.22
3281,5.99
2370,7.16
5522,6.86
2544,7.87
10436,5.22
12853,Unknown
2178,5.42
4898,Unknown
5153,6.21
1209,6.24
10931,6.56
14132,Unknown
9930,6.81
3123,5.03
15181,5.81
10262,Unknown
3766,5.01
16362,6.4
14247,6.53
600,6.88
12683,Unknown
4550,7.04
943,5.88
15435,Unknown
15715,5.57
17224,8.32
11854,Unknown
1561,6.77
14634,8.17
6213,7.16
14325,Unknown
4541,7.31
1782,6.03
9434,7.5
1095,6.16
5544,7.43
13449,Unknown
13630,Unknown
15659,7.26
677,7.69
14023,8.28
1392,7.13
752,6.4
3737,4.73
2976,6.46
6694,6.19
3215,5.78
11217,6.14
1770,5.91
16797,6.47
12814,7.38
3022,5.93
5401,Unknown
7856,Unknown
6875,7.14
5191,5.24
4619,6.45
15264,4.76
12498,Unknown
8719,Unknown
14860,Unknown
10431,Unknown
8146,6.46
7968,5.95
4264,5.64
10801,Unknown
6825,Unknown
8113,7.05
701,6.05
6170,5.44
17030,Unknown
8159,6.93
6870,6.47
4423,7.28
6862,4.94
6986,7.37
4868,5.0
4376,5.82
12002,8.32
2926,6.18
10129,Unknown
13841,7.5
17379,Unknown
15814,8.35
4350,5.71
17448,Unknown
3697,6.69
2013,6.89
13632,Unknown
11366,Unknown
5677,5.34
13505,5.83
13353,5.4
2147,5.71
8788,6.1
2705,7.69
14532,8.05
12160,Unknown
14913,Unknown
810,6.65
5317,7.15
11436,7.05
312,6.46
2073,6.82
14234,7.35
13866,6.69
7734,6.59
885,6.29
1790,6.44
16501,5.71
3454,7.44
8874,7.11
3895,6.34
15280,Unknown
11076,Unknown
9315,7.73
8249,Unknown
16720,Unknown
8012,7.19
9392,6.63
11206,Unknown
16546,6.71
15817,Unknown
7925,7.71
1468,6.48
470,5.51
2722,5.21
5419,6.73
15216,Unknown
16067,6.44
11103,8.82
6041,Unknown
2744,7.26
16319,5.71
10354,Unknown
16726,Unknown
13308,6.92
14891,7.91
4674,7.57
7456,7.5
9247,Unknown
11519,5.27
14047,Unknown
9924,6.98
6379,Unknown
10633,7.8
14208,Unknown
3876,Unknown
1075,6.95
3936,6.93
16118,Unknown
13480,6.56
7141,6.68
4207,5.22
6713,6.82
2149,5.17
8511,6.43
11419,Unknown
74,7.7
15457,Unknown
7339,6.72
11086,6.69
11009,4.62
17070,Unknown
10908,5.87
13775,Unknown
11144,6.67
15560,Unknown
2509,5.77
7281,5.1
